,adjective,category,created_at,id,modifier,name,price
133,organic,tool,2013-06-24 15:10:15,1606.0,warmer,organic tool warmer,41.25000000000001
134,,mechanism,2013-12-16 12:01:35,944.0,,mechanism,15.0
135,reflective,widget,2013-09-21 22:52:44,1137.0,carrying_case,reflective widget carrying_case,2.34
136,analog,contraption,2014-02-11 22:50:25,230.0,storage_unit,analog contraption storage_unit,562.5
137,,contraption,2013-09-07 15:14:08,1055.0,,contraption,250.0
138,digital,device,2013-09-05 19:05:16,3746.0,cleaner,digital device cleaner,33.0
139,extra-strength,device,2013-05-31 04:39:33,2432.0,refill,extra-strength device refill,80.0
140,analog,tool,2013-12-22 20:12:13,3449.0,warmer,analog tool warmer,24.750000000000004
141,aerodynamic,contraption,2014-02-12 12:20:34,1903.0,opener,aerodynamic contraption opener,175.0
142,analog,instrument,2013-06-03 23:32:07,594.0,charger,analog instrument charger,7.920000000000001
143,prize-winning,instrument,2013-03-07 08:12:25,3808.0,opener,prize-winning instrument opener,24.200000000000003
144,fuzzy,instrument,2014-01-01 21:29:29,3700.0,opener,fuzzy instrument opener,22.0
145,,module,2013-04-18 13:58:39,3792.0,warmer,module warmer,110.0
146,,mechanism,2014-02-07 23:56:38,3014.0,,mechanism,15.0
147,organic,device,2013-07-09 03:11:11,502.0,wrapper,organic device wrapper,30.0
148,rechargable,tool,2013-12-29 03:22:57,538.0,wrapper,rechargable tool wrapper,13.0
149,,module,2013-12-08 23:14:47,3876.0,refill,module refill,80.0
150,rechargable,instrument,2013-12-23 13:20:23,557.0,storage_unit,rechargable instrument storage_unit,143.0
151,reflective,mechanism,2013-03-08 21:21:07,1485.0,carrying_case,reflective mechanism carrying_case,11.7
152,glossy,instrument,2013-12-18 10:55:57,392.0,warmer,glossy instrument warmer,58.080000000000005
153,analog,widget,2013-10-20 07:14:15,2754.0,,analog widget,2.7
154,rechargable,dongle,2014-02-18 03:08:54,3987.0,,rechargable dongle,39.0
155,,module,2013-06-05 15:18:33,3074.0,storage_unit,module storage_unit,250.0
156,glossy,module,2014-02-14 10:47:31,3101.0,opener,glossy module opener,60.0
157,,module,2013-05-16 03:20:34,2943.0,,module,100.0
158,analog,widget,2013-07-02 07:05:51,1360.0,charger,analog widget charger,0.5400000000000001
159,aerodynamic,apparatus,2014-02-19 15:28:43,2035.0,,aerodynamic apparatus,420.0
160,industrial-strength,tool,2013-04-15 04:41:01,1273.0,cleaner,industrial-strength tool cleaner,45.0
161,extra-strength,instrument,2014-01-23 06:06:56,1704.0,,extra-strength instrument,88.0
162,glossy,widget,2013-05-29 01:22:19,1936.0,,glossy widget,3.6
163,reflective,device,2013-08-05 05:43:27,759.0,,reflective device,65.0
164,rechargable,device,2013-09-09 20:11:53,3639.0,warmer,rechargable device warmer,71.50000000000001
165,matte,tool,2014-02-19 16:30:29,1384.0,charger,matte tool charger,6.25
166,fuzzy,widget,2013-08-18 08:08:18,3260.0,refill,fuzzy widget refill,2.4000000000000004
167,miniature,mechanism,2013-08-21 20:31:41,1250.0,carrying_case,miniature mechanism carrying_case,4.95
168,rechargable,mechanism,2013-09-28 16:21:09,1364.0,,rechargable mechanism,19.5
169,analog,apparatus,2013-05-01 12:39:16,2255.0,,analog apparatus,270.0
170,matte,apparatus,2014-02-04 02:18:54,1067.0,,matte apparatus,375.0
171,matte,apparatus,2013-07-02 03:36:11,1114.0,,matte apparatus,375.0
172,rechargable,module,2013-07-22 00:04:38,3161.0,carrying_case,rechargable module carrying_case,78.0
173,prize-winning,device,2014-01-23 11:30:46,3672.0,opener,prize-winning device opener,27.500000000000004
174,industrial-strength,mechanism,2014-01-25 22:30:35,3675.0,carrying_case,industrial-strength mechanism carrying_case,27.0
175,aerodynamic,dongle,2014-02-08 00:42:16,2912.0,,aerodynamic dongle,42.0
176,matte,dongle,2013-04-17 06:33:20,2343.0,carrying_case,matte dongle carrying_case,22.5
177,organic,instrument,2013-10-01 20:26:59,3192.0,storage_unit,organic instrument storage_unit,165.0
178,industrial-strength,instrument,2013-03-12 14:50:04,827.0,,industrial-strength instrument,132.0
179,glossy,apparatus,2013-12-27 19:25:09,1545.0,how-to-manual,glossy apparatus how-to-manual,0.0
180,,widget,2013-03-24 09:04:02,3033.0,opener,widget opener,1.5
181,digital,gadget,2013-06-03 01:35:57,3618.0,cleaner,digital gadget cleaner,58.74
182,glossy,tool,2013-05-20 03:14:11,1536.0,cleaner,glossy tool cleaner,18.0
183,glossy,contraption,2013-07-22 18:18:30,2422.0,,glossy contraption,300.0
184,prize-winning,instrument,2013-10-31 21:24:26,3630.0,refill,prize-winning instrument refill,38.720000000000006
185,reflective,device,2013-08-08 20:33:46,2903.0,how-to-manual,reflective device how-to-manual,0.0
186,reflective,widget,2013-08-23 13:24:00,940.0,,reflective widget,3.9
187,industrial-strength,apparatus,2013-07-28 06:30:42,2326.0,,industrial-strength apparatus,900.0
188,,gadget,2013-06-18 03:04:37,2268.0,,gadget,89.0
189,digital,apparatus,2013-09-19 20:22:28,3629.0,opener,digital apparatus opener,165.0
190,glossy,contraption,2013-06-30 15:56:22,630.0,,glossy contraption,300.0
191,glossy,dongle,2013-03-22 20:28:38,2013.0,warmer,glossy dongle warmer,39.6
192,miniature,widget,2013-04-25 07:42:11,3190.0,charger,miniature widget charger,0.33
193,analog,module,2013-08-15 05:51:31,3388.0,storage_unit,analog module storage_unit,225.0
194,glossy,widget,2013-03-11 16:37:31,3209.0,,glossy widget,3.6
195,industrial-strength,tool,2013-05-28 08:42:47,3741.0,storage_unit,industrial-strength tool storage_unit,187.5
196,glossy,device,2013-06-12 13:36:07,1665.0,storage_unit,glossy device storage_unit,150.0
197,,mechanism,2013-07-02 22:35:51,881.0,wrapper,mechanism wrapper,6.0
198,rechargable,device,2014-02-04 12:36:05,2814.0,,rechargable device,65.0
199,reflective,tool,2013-12-28 09:36:43,2021.0,charger,reflective tool charger,6.5
200,matte,widget,2013-04-23 21:52:00,1772.0,refill,matte widget refill,3.0000000000000004
201,rechargable,gadget,2013-10-08 01:33:19,1281.0,storage_unit,rechargable gadget storage_unit,289.25
202,rechargable,widget,2013-05-11 15:27:00,3772.0,how-to-manual,rechargable widget how-to-manual,0.0
203,,gadget,2013-10-05 19:25:59,2775.0,wrapper,gadget wrapper,35.6
204,miniature,dongle,2013-09-27 04:58:40,1207.0,storage_unit,miniature dongle storage_unit,41.25
205,organic,instrument,2013-05-07 09:20:53,3497.0,storage_unit,organic instrument storage_unit,165.0
206,industrial-strength,widget,2013-10-13 01:30:08,1295.0,,industrial-strength widget,9.0
207,miniature,widget,2013-03-28 21:27:48,2341.0,,miniature widget,1.65
208,,tool,2013-12-09 23:19:44,516.0,warmer,tool warmer,27.500000000000004
209,glossy,instrument,2013-05-01 14:36:12,2313.0,storage_unit,glossy instrument storage_unit,132.0
210,prize-winning,module,2014-01-29 23:01:25,3534.0,charger,prize-winning module charger,22.0
211,glossy,widget,2014-01-23 18:12:02,1600.0,,glossy widget,3.6
212,prize-winning,mechanism,2013-07-09 09:30:33,3445.0,carrying_case,prize-winning mechanism carrying_case,9.9
213,industrial-strength,device,2014-02-08 08:12:42,273.0,storage_unit,industrial-strength device storage_unit,375.0
214,extra-strength,instrument,2013-10-20 12:01:23,3927.0,charger,extra-strength instrument charger,17.6
215,miniature,instrument,2014-02-05 07:47:39,1572.0,,miniature instrument,24.200000000000003
216,fuzzy,module,2014-02-11 19:01:56,2520.0,charger,fuzzy module charger,20.0
217,matte,tool,2013-03-13 04:10:30,1068.0,opener,matte tool opener,15.625
218,,dongle,2013-09-02 20:41:57,1505.0,,dongle,30.0
219,extra-strength,widget,2013-03-02 21:39:05,2172.0,,extra-strength widget,6.0
220,aerodynamic,gadget,2013-08-01 11:16:52,2162.0,carrying_case,aerodynamic gadget carrying_case,74.75999999999999
221,industrial-strength,widget,2014-02-06 11:22:40,2293.0,storage_unit,industrial-strength widget storage_unit,22.5
222,prize-winning,mechanism,2013-09-14 10:08:54,3384.0,,prize-winning mechanism,16.5
223,fuzzy,dongle,2013-02-22 16:36:24,233.0,opener,fuzzy dongle opener,15.0
224,,tool,2013-12-04 03:19:50,1082.0,how-to-manual,tool how-to-manual,0.0
225,digital,gadget,2013-06-01 07:47:43,2340.0,,digital gadget,97.9
226,,contraption,2013-09-12 22:05:13,1533.0,storage_unit,contraption storage_unit,625.0
227,extra-strength,gadget,2013-09-25 23:59:05,378.0,,extra-strength gadget,178.0
228,,widget,2013-07-29 09:46:12,146.0,refill,widget refill,2.4000000000000004
229,glossy,widget,2013-07-12 18:40:24,1437.0,how-to-manual,glossy widget how-to-manual,0.0
230,prize-winning,apparatus,2013-10-25 22:47:55,3797.0,warmer,prize-winning apparatus warmer,363.00000000000006
231,miniature,contraption,2014-01-07 19:47:13,1686.0,storage_unit,miniature contraption storage_unit,343.75
232,matte,dongle,2013-12-05 01:04:18,413.0,how-to-manual,matte dongle how-to-manual,0.0
233,aerodynamic,dongle,2013-05-31 02:09:20,3762.0,,aerodynamic dongle,42.0
234,aerodynamic,mechanism,2013-06-27 12:51:53,3946.0,storage_unit,aerodynamic mechanism storage_unit,52.5
235,,module,2013-06-26 22:58:31,1890.0,,module,100.0
236,fuzzy,mechanism,2013-02-25 14:26:59,3195.0,warmer,fuzzy mechanism warmer,16.5
237,digital,tool,2013-04-29 06:22:11,1627.0,charger,digital tool charger,5.5
238,industrial-strength,instrument,2013-07-20 08:57:28,612.0,carrying_case,industrial-strength instrument carrying_case,79.19999999999999
239,,tool,2013-02-25 04:54:43,39.0,,tool,25.0
240,,mechanism,2013-11-21 04:00:45,3366.0,charger,mechanism charger,3.0
241,prize-winning,widget,2013-07-24 01:09:40,97.0,storage_unit,prize-winning widget storage_unit,8.25
242,extra-strength,tool,2013-07-10 09:16:00,397.0,charger,extra-strength tool charger,10.0
243,fuzzy,mechanism,2014-02-05 17:54:34,72.0,cleaner,fuzzy mechanism cleaner,9.0
244,rechargable,module,2013-10-15 15:17:37,2884.0,opener,rechargable module opener,65.0
245,rechargable,module,2013-12-05 09:11:59,3520.0,,rechargable module,130.0
246,prize-winning,gadget,2013-12-14 01:22:45,3084.0,,prize-winning gadget,97.9
247,analog,contraption,2013-04-01 08:41:53,3146.0,charger,analog contraption charger,45.0
248,extra-strength,dongle,2013-04-28 16:50:12,3285.0,carrying_case,extra-strength dongle carrying_case,36.0
249,prize-winning,contraption,2013-08-16 19:00:27,3035.0,,prize-winning contraption,275.0
250,aerodynamic,widget,2013-07-22 11:37:09,2241.0,opener,aerodynamic widget opener,2.1
251,rechargable,instrument,2014-02-11 13:11:58,3651.0,carrying_case,rechargable instrument carrying_case,34.32
252,fuzzy,mechanism,2013-02-27 09:17:53,3513.0,storage_unit,fuzzy mechanism storage_unit,37.5
253,organic,contraption,2013-04-03 01:05:31,1852.0,,organic contraption,375.0
254,industrial-strength,tool,2013-09-25 02:46:45,3625.0,charger,industrial-strength tool charger,15.0
255,,mechanism,2014-01-17 23:01:18,237.0,warmer,mechanism warmer,16.5
256,,contraption,2013-06-07 11:12:59,784.0,,contraption,250.0
257,miniature,gadget,2014-01-16 03:48:56,1011.0,storage_unit,miniature gadget storage_unit,122.375
258,digital,contraption,2013-12-14 01:00:18,1870.0,,digital contraption,275.0
259,glossy,module,2013-03-28 18:57:13,1934.0,wrapper,glossy module wrapper,48.0
260,,apparatus,2013-11-16 14:26:34,1603.0,,apparatus,300.0
261,matte,module,2013-05-02 18:00:00,651.0,,matte module,125.0
262,fuzzy,apparatus,2014-02-12 02:10:17,196.0,,fuzzy apparatus,300.0
263,analog,apparatus,2013-09-24 15:44:21,3434.0,opener,analog apparatus opener,135.0
264,prize-winning,dongle,2013-03-25 07:38:39,411.0,,prize-winning dongle,33.0
265,,gadget,2013-10-14 11:15:34,541.0,charger,gadget charger,17.8
266,,contraption,2013-08-15 07:31:35,2112.0,,contraption,250.0
267,industrial-strength,device,2013-03-16 18:14:31,1935.0,cleaner,industrial-strength device cleaner,90.0
268,organic,device,2013-07-27 13:51:21,1509.0,refill,organic device refill,60.0
269,prize-winning,instrument,2013-11-13 20:55:14,2409.0,,prize-winning instrument,48.400000000000006
270,matte,mechanism,2013-06-25 15:50:09,946.0,,matte mechanism,18.75
271,,apparatus,2013-10-04 11:29:10,3777.0,cleaner,apparatus cleaner,180.0
272,miniature,module,2014-01-25 03:21:55,1166.0,storage_unit,miniature module storage_unit,137.5
273,industrial-strength,dongle,2013-10-05 14:41:05,2640.0,wrapper,industrial-strength dongle wrapper,36.0
274,extra-strength,mechanism,2013-03-13 12:18:42,3405.0,storage_unit,extra-strength mechanism storage_unit,75.0
275,industrial-strength,contraption,2013-11-07 02:09:34,1375.0,,industrial-strength contraption,750.0
276,rechargable,mechanism,2013-09-22 01:09:12,1944.0,cleaner,rechargable mechanism cleaner,11.7
277,rechargable,mechanism,2013-07-02 13:50:41,3423.0,,rechargable mechanism,19.5
278,rechargable,gadget,2013-05-25 18:46:53,3348.0,storage_unit,rechargable gadget storage_unit,289.25
279,analog,module,2013-12-14 01:36:01,2200.0,,analog module,90.0
280,glossy,widget,2013-11-12 01:32:00,1582.0,opener,glossy widget opener,1.7999999999999998
281,analog,tool,2013-09-21 04:26:41,3381.0,wrapper,analog tool wrapper,9.0
282,glossy,mechanism,2013-08-07 22:15:44,3724.0,how-to-manual,glossy mechanism how-to-manual,0.0
283,industrial-strength,mechanism,2013-08-14 14:04:04,1283.0,charger,industrial-strength mechanism charger,9.0
284,analog,contraption,2014-02-08 05:52:22,869.0,cleaner,analog contraption cleaner,135.0
285,industrial-strength,tool,2013-12-07 22:22:05,207.0,,industrial-strength tool,75.0
286,digital,apparatus,2013-08-14 08:39:16,1863.0,warmer,digital apparatus warmer,363.00000000000006
287,rechargable,dongle,2013-12-20 07:15:04,3148.0,storage_unit,rechargable dongle storage_unit,97.5
288,extra-strength,widget,2013-02-25 01:58:30,1229.0,warmer,extra-strength widget warmer,6.6000000000000005
289,aerodynamic,contraption,2013-05-28 19:18:24,1928.0,wrapper,aerodynamic contraption wrapper,140.0
290,digital,gadget,2013-03-27 13:54:49,3466.0,how-to-manual,digital gadget how-to-manual,0.0
291,analog,module,2013-12-24 02:14:53,3657.0,refill,analog module refill,72.0
292,miniature,device,2014-02-20 21:07:49,2359.0,,miniature device,27.500000000000004
293,organic,dongle,2013-07-13 09:50:11,137.0,refill,organic dongle refill,36.0
294,extra-strength,mechanism,2013-07-04 14:22:28,2795.0,how-to-manual,extra-strength mechanism how-to-manual,0.0
295,glossy,instrument,2013-03-11 14:55:34,1303.0,,glossy instrument,52.8
296,matte,tool,2013-05-16 19:08:15,3807.0,carrying_case,matte tool carrying_case,18.75
297,rechargable,gadget,2013-06-02 14:24:28,1089.0,warmer,rechargable gadget warmer,127.27
298,digital,gadget,2013-04-02 06:51:18,3650.0,,digital gadget,97.9
299,aerodynamic,widget,2013-11-28 08:50:23,2831.0,storage_unit,aerodynamic widget storage_unit,10.5
300,,tool,2013-08-27 01:46:00,1515.0,opener,tool opener,12.5
301,miniature,dongle,2013-10-18 12:47:56,2589.0,cleaner,miniature dongle cleaner,9.9
302,reflective,gadget,2013-07-23 04:00:21,3477.0,,reflective gadget,115.7
303,reflective,mechanism,2014-02-11 07:29:49,2504.0,charger,reflective mechanism charger,3.9
304,extra-strength,module,2013-12-19 01:12:33,2874.0,,extra-strength module,200.0
305,fuzzy,contraption,2013-08-29 12:58:36,1332.0,cleaner,fuzzy contraption cleaner,150.0
306,,module,2014-01-05 00:53:30,930.0,,module,100.0
307,aerodynamic,gadget,2013-06-03 05:42:03,935.0,,aerodynamic gadget,124.6
308,digital,dongle,2013-03-27 19:34:55,3574.0,storage_unit,digital dongle storage_unit,82.5
309,aerodynamic,widget,2013-08-05 06:29:16,347.0,,aerodynamic widget,4.199999999999999
310,aerodynamic,dongle,2013-11-10 13:45:09,269.0,,aerodynamic dongle,42.0
